"panel","true_value","rep","ml_width_mu","ml_width_sigma","ml_width_xi"
"mu",7.125,49,2.27937138161739,1.88041428393889,0.157130358560662
"mu",7.125,50,2.15239504228118,1.75031909960124,0.169502375844881
"mu",7.125,51,2.21368606498127,1.79073364603108,0.153404065394569
"mu",7.125,52,2.22133482678613,1.84760694910315,0.163118576901453
"mu",7.125,53,2.22816459024219,1.75994234819299,0.154764194024054
"mu",7.125,54,2.25162848457982,1.75004365799315,0.160354696165548
"mu",7.125,55,2.43891798179896,2.00201969795225,0.158402151362881
"mu",7.125,56,2.24403223325862,1.77438845307309,0.156948592331637
"mu",7.125,57,2.19061208937747,1.79323973530984,0.159305900413402
"mu",7.125,58,2.11834154550962,1.70340141106682,0.16619073658466
"mu",7.125,59,2.27609691387791,1.79309017801506,0.18524485718457
"mu",7.125,60,2.16260124225111,1.63620027039894,0.146702146996027
"mu",7.125,61,2.19005703703592,1.78443625401369,0.155187322000756
"mu",7.125,62,2.35367934407389,1.82462353561773,0.16267759987272
"mu",7.125,63,2.05839510715759,1.6516646189912,0.153528170461107
"mu",7.125,64,2.09766728831545,1.63556890840717,0.153074095607024
"mu",7.125,65,2.2771167109019,1.81786511744587,0.155784795475289
"mu",7.125,66,2.19410913288771,1.81255253209741,0.162169057922906
"mu",7.125,67,2.25247753148451,1.77856910795148,0.153802187146963
"mu",7.125,68,2.02795583038969,1.64541306418978,0.159072445035439
"mu",7.125,69,2.15586983038479,1.7210688571273,0.161793077743684
"mu",7.125,70,2.21837523642439,1.70236565058995,0.156130368726794
"mu",7.125,71,2.03532518014569,1.7005524866023,0.186668064904396
"mu",7.125,72,2.09290977975662,1.66338085345621,0.143560990090469
"mu",7.125,73,2.28798177376056,1.81763859488195,0.153152218189762
"mu",7.125,74,2.00820406892093,1.59831063623234,0.158027283466767
"mu",7.125,75,2.14981212316775,1.71353358123196,0.163885848797269
"mu",7.125,76,2.18932726809089,1.78372505172262,0.16409150690827
"mu",7.125,77,2.12181253693729,1.6658519104881,0.15039472349168
"mu",7.125,78,2.03986953334374,1.63814148906478,0.149777232201576
"mu",7.125,79,2.16675460555198,1.72494269716337,0.157656106830934
"mu",7.125,80,2.20816909878525,1.76521622562905,0.157140550674943
"mu",7.125,81,2.24038419298748,1.74249796270986,0.152880464380819
"mu",7.125,82,2.14361446582304,1.74044972651894,0.174786084472171
"mu",7.125,83,2.20040942206559,1.73224250489879,0.15548755157891
"mu",7.125,84,2.12990738956168,1.71651318078395,0.159560539538129
"mu",7.125,85,2.04463922622142,1.64734507676286,0.165339580039146
"mu",7.125,86,2.16931776771866,1.74478522717048,0.150133097651169
"mu",7.125,87,2.13462662449686,1.63579334160871,0.139005697110943
